GEO.id,GEO.id2,GEO.display-label,GCT_STUB.target-geo-id,GCT_STUB.target-geo-id2,GCT_STUB.display-label,GCT_STUB.display-label,HC01,HC02
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geographic Area,Geographic Area,Minute,Margin of Error
0100000US,,United States,310M300US11500,11500,"United States - In metropolitan or micropolitan statistical area - Anniston-Oxford-Jacksonville, AL Metro Area","Anniston-Oxford-Jacksonville, AL Metro Area",24.6,0.9
0100000US,,United States,310M300US11540,11540,"United States - In metropolitan or micropolitan statistical area - Appleton, WI Metro Area","Appleton, WI Metro Area",19.7,0.3
0100000US,,United States,310M300US11580,11580,"United States - In metropolitan or micropolitan statistical area - Arcadia, FL Micro Area","Arcadia, FL Micro Area",25.2,2.1
0100000US,,United States,310M300US11620,11620,"United States - In metropolitan or micropolitan statistical area - Ardmore, OK Micro Area","Ardmore, OK Micro Area",19.4,0.9
0100000US,,United States,310M300US11660,11660,"United States - In metropolitan or micropolitan statistical area - Arkadelphia, AR Micro Area","Arkadelphia, AR Micro Area",21.6,1.6
0100000US,,United States,310M300US11680,11680,"United States - In metropolitan or micropolitan statistical area - Arkansas City-Winfield, KS Micro Area","Arkansas City-Winfield, KS Micro Area",18.4,1.0
0100000US,,United States,310M300US11700,11700,"United States - In metropolitan or micropolitan statistical area - Asheville, NC Metro Area","Asheville, NC Metro Area",21.3,0.4
0100000US,,United States,310M300US11740,11740,"United States - In metropolitan or micropolitan statistical area - Ashland, OH Micro Area","Ashland, OH Micro Area",23.9,1.1
0100000US,,United States,310M300US11780,11780,"United States - In metropolitan or micropolitan statistical area - Ashtabula, OH Micro Area","Ashtabula, OH Micro Area",25.3,0.9
0100000US,,United States,310M300US11820,11820,"United States - In metropolitan or micropolitan statistical area - Astoria, OR Micro Area","Astoria, OR Micro Area",18.8,1.1
0100000US,,United States,310M300US11860,11860,"United States - In metropolitan or micropolitan statistical area - Atchison, KS Micro Area","Atchison, KS Micro Area",20.8,1.9
0100000US,,United States,310M300US11900,11900,"United States - In metropolitan or micropolitan statistical area - Athens, OH Micro Area","Athens, OH Micro Area",20.1,0.9
0100000US,,United States,310M300US11940,11940,"United States - In metropolitan or micropolitan statistical area - Athens, TN Micro Area","Athens, TN Micro Area",23.5,1.3
0100000US,,United States,310M300US11980,11980,"United States - In metropolitan or micropolitan statistical area - Athens, TX Micro Area","Athens, TX Micro Area",29.6,1.3
0100000US,,United States,310M300US12020,12020,"United States - In metropolitan or micropolitan statistical area - Athens-Clarke County, GA Metro Area","Athens-Clarke County, GA Metro Area",22.1,0.6
0100000US,,United States,310M300US12060,12060,"United States - In metropolitan or micropolitan statistical area - Atlanta-Sandy Springs-Roswell, GA Metro Area","Atlanta-Sandy Springs-Roswell, GA Metro Area",31.0,0.1
0100000US,,United States,310M300US12100,12100,"United States - In metropolitan or micropolitan statistical area - Atlantic City-Hammonton, NJ Metro Area","Atlantic City-Hammonton, NJ Metro Area",23.9,0.5
0100000US,,United States,310M300US12120,12120,"United States - In metropolitan or micropolitan statistical area - Atmore, AL Micro Area","Atmore, AL Micro Area",23.1,1.9
0100000US,,United States,310M300US12140,12140,"United States - In metropolitan or micropolitan statistical area - Auburn, IN Micro Area","Auburn, IN Micro Area",21.0,1.0
0100000US,,United States,310M300US12180,12180,"United States - In metropolitan or micropolitan statistical area - Auburn, NY Micro Area","Auburn, NY Micro Area",22.9,0.7
0100000US,,United States,310M300US12220,12220,"United States - In metropolitan or micropolitan statistical area - Auburn-Opelika, AL Metro Area","Auburn-Opelika, AL Metro Area",22.1,0.6
0100000US,,United States,310M300US12260,12260,"United States - In metropolitan or micropolitan statistical area - Augusta-Richmond County, GA-SC Metro Area","Augusta-Richmond County, GA-SC Metro Area",23.6,0.3
0100000US,,United States,310M300US12300,12300,"United States - In metropolitan or micropolitan statistical area - Augusta-Waterville, ME Micro Area","Augusta-Waterville, ME Micro Area",23.4,0.5
0100000US,,United States,310M300US12380,12380,"United States - In metropolitan or micropolitan statistical area - Austin, MN Micro Area","Austin, MN Micro Area",17.4,0.9
0100000US,,United States,310M300US12420,12420,"United States - In metropolitan or micropolitan statistical area - Austin-Round Rock, TX Metro Area","Austin-Round Rock, TX Metro Area",26.4,0.2
0100000US,,United States,310M300US12460,12460,"United States - In metropolitan or micropolitan statistical area - Bainbridge, GA Micro Area","Bainbridge, GA Micro Area",23.7,1.3
0100000US,,United States,310M300US12540,12540,"United States - In metropolitan or micropolitan statistical area - Bakersfield, CA Metro Area","Bakersfield, CA Metro Area",23.5,0.4
0100000US,,United States,310M300US12580,12580,"United States - In metropolitan or micropolitan statistical area - Baltimore-Columbia-Towson, MD Metro Area","Baltimore-Columbia-Towson, MD Metro Area",30.5,0.2
0100000US,,United States,310M300US12620,12620,"United States - In metropolitan or micropolitan statistical area - Bangor, ME Metro Area","Bangor, ME Metro Area",22.2,0.7
0100000US,,United States,310M300US12660,12660,"United States - In metropolitan or micropolitan statistical area - Baraboo, WI Micro Area","Baraboo, WI Micro Area",21.3,0.7
0100000US,,United States,310M300US12680,12680,"United States - In metropolitan or micropolitan statistical area - Bardstown, KY Micro Area","Bardstown, KY Micro Area",26.3,1.2
0100000US,,United States,310M300US12700,12700,"United States - In metropolitan or micropolitan statistical area - Barnstable Town, MA Metro Area","Barnstable Town, MA Metro Area",23.3,0.6
0100000US,,United States,310M300US12740,12740,"United States - In metropolitan or micropolitan statistical area - Barre, VT Micro Area","Barre, VT Micro Area",23.0,0.8
0100000US,,United States,310M300US12780,12780,"United States - In metropolitan or micropolitan statistical area - Bartlesville, OK Micro Area","Bartlesville, OK Micro Area",17.4,0.6
0100000US,,United States,310M300US12820,12820,"United States - In metropolitan or micropolitan statistical area - Bastrop, LA Micro Area","Bastrop, LA Micro Area",24.5,1.5
0100000US,,United States,310M300US12860,12860,"United States - In metropolitan or micropolitan statistical area - Batavia, NY Micro Area","Batavia, NY Micro Area",22.2,0.6
0100000US,,United States,310M300US12900,12900,"United States - In metropolitan or micropolitan statistical area - Batesville, AR Micro Area","Batesville, AR Micro Area",19.0,1.2
0100000US,,United States,310M300US12940,12940,"United States - In metropolitan or micropolitan statistical area - Baton Rouge, LA Metro Area","Baton Rouge, LA Metro Area",26.6,0.3
0100000US,,United States,310M300US12980,12980,"United States - In metropolitan or micropolitan statistical area - Battle Creek, MI Metro Area","Battle Creek, MI Metro Area",20.3,0.5
0100000US,,United States,310M300US13020,13020,"United States - In metropolitan or micropolitan statistical area - Bay City, MI Metro Area","Bay City, MI Metro Area",22.2,0.7
0100000US,,United States,310M300US13060,13060,"United States - In metropolitan or micropolitan statistical area - Bay City, TX Micro Area","Bay City, TX Micro Area",23.9,2.5
0100000US,,United States,310M300US13100,13100,"United States - In metropolitan or micropolitan statistical area - Beatrice, NE Micro Area","Beatrice, NE Micro Area",19.5,0.8
0100000US,,United States,310M300US13140,13140,"United States - In metropolitan or micropolitan statistical area - Beaumont-Port Arthur, TX Metro Area","Beaumont-Port Arthur, TX Metro Area",21.9,0.4
0100000US,,United States,310M300US13180,13180,"United States - In metropolitan or micropolitan statistical area - Beaver Dam, WI Micro Area","Beaver Dam, WI Micro Area",23.0,0.7
0100000US,,United States,310M300US13220,13220,"United States - In metropolitan or micropolitan statistical area - Beckley, WV Metro Area","Beckley, WV Metro Area",25.7,1.0
0100000US,,United States,310M300US13260,13260,"United States - In metropolitan or micropolitan statistical area - Bedford, IN Micro Area","Bedford, IN Micro Area",24.5,1.4
0100000US,,United States,310M300US13300,13300,"United States - In metropolitan or micropolitan statistical area - Beeville, TX Micro Area","Beeville, TX Micro Area",21.5,1.8
0100000US,,United States,310M300US13340,13340,"United States - In metropolitan or micropolitan statistical area - Bellefontaine, OH Micro Area","Bellefontaine, OH Micro Area",22.2,0.9
0100000US,,United States,310M300US13380,13380,"United States - In metropolitan or micropolitan statistical area - Bellingham, WA Metro Area","Bellingham, WA Metro Area",20.8,0.5
0100000US,,United States,310M300US13420,13420,"United States - In metropolitan or micropolitan statistical area - Bemidji, MN Micro Area","Bemidji, MN Micro Area",19.6,0.8
0100000US,,United States,310M300US13460,13460,"United States - In metropolitan or micropolitan statistical area - Bend-Redmond, OR Metro Area","Bend-Redmond, OR Metro Area",18.6,0.6
0100000US,,United States,310M300US13500,13500,"United States - In metropolitan or micropolitan statistical area - Bennettsville, SC Micro Area","Bennettsville, SC Micro Area",25.8,1.8
0100000US,,United States,310M300US13540,13540,"United States - In metropolitan or micropolitan statistical area - Bennington, VT Micro Area","Bennington, VT Micro Area",19.0,0.9
0100000US,,United States,310M300US13620,13620,"United States - In metropolitan or micropolitan statistical area - Berlin, NH-VT Micro Area","Berlin, NH-VT Micro Area",21.5,0.7
0100000US,,United States,310M300US13660,13660,"United States - In metropolitan or micropolitan statistical area - Big Rapids, MI Micro Area","Big Rapids, MI Micro Area",23.9,1.1
0100000US,,United States,310M300US13700,13700,"United States - In metropolitan or micropolitan statistical area - Big Spring, TX Micro Area","Big Spring, TX Micro Area",18.4,1.3
0100000US,,United States,310M300US13720,13720,"United States - In metropolitan or micropolitan statistical area - Big Stone Gap, VA Micro Area","Big Stone Gap, VA Micro Area",23.6,1.1
0100000US,,United States,310M300US13740,13740,"United States - In metropolitan or micropolitan statistical area - Billings, MT Metro Area","Billings, MT Metro Area",19.5,0.5
0100000US,,United States,310M300US13780,13780,"United States - In metropolitan or micropolitan statistical area - Binghamton, NY Metro Area","Binghamton, NY Metro Area",20.4,0.5
0100000US,,United States,310M300US13820,13820,"United States - In metropolitan or micropolitan statistical area - Birmingham-Hoover, AL Metro Area","Birmingham-Hoover, AL Metro Area",26.1,0.2
0100000US,,United States,310M300US13900,13900,"United States - In metropolitan or micropolitan statistical area - Bismarck, ND Metro Area","Bismarck, ND Metro Area",18.5,0.6
0100000US,,United States,310M300US13940,13940,"United States - In metropolitan or micropolitan statistical area - Blackfoot, ID Micro Area","Blackfoot, ID Micro Area",21.7,1.3
0100000US,,United States,310M300US13980,13980,"United States - In metropolitan or micropolitan statistical area - Blacksburg-Christiansburg-Radford, VA Metro Area","Blacksburg-Christiansburg-Radford, VA Metro Area",21.1,0.5
0100000US,,United States,310M300US14010,14010,"United States - In metropolitan or micropolitan statistical area - Bloomington, IL Metro Area","Bloomington, IL Metro Area",18.3,0.4
0100000US,,United States,310M300US14020,14020,"United States - In metropolitan or micropolitan statistical area - Bloomington, IN Metro Area","Bloomington, IN Metro Area",20.0,0.5
0100000US,,United States,310M300US14100,14100,"United States - In metropolitan or micropolitan statistical area - Bloomsburg-Berwick, PA Metro Area","Bloomsburg-Berwick, PA Metro Area",21.8,0.6
0100000US,,United States,310M300US14140,14140,"United States - In metropolitan or micropolitan statistical area - Bluefield, WV-VA Micro Area","Bluefield, WV-VA Micro Area",21.6,0.8
0100000US,,United States,310M300US14180,14180,"United States - In metropolitan or micropolitan statistical area - Blytheville, AR Micro Area","Blytheville, AR Micro Area",18.5,1.0
0100000US,,United States,310M300US14220,14220,"United States - In metropolitan or micropolitan statistical area - Bogalusa, LA Micro Area","Bogalusa, LA Micro Area",33.1,2.1
0100000US,,United States,310M300US14260,14260,"United States - In metropolitan or micropolitan statistical area - Boise City, ID Metro Area","Boise City, ID Metro Area",21.7,0.3
0100000US,,United States,310M300US14300,14300,"United States - In metropolitan or micropolitan statistical area - Bonham, TX Micro Area","Bonham, TX Micro Area",29.6,1.5
0100000US,,United States,310M300US14340,14340,"United States - In metropolitan or micropolitan statistical area - Boone, IA Micro Area","Boone, IA Micro Area",21.1,1.0
0100000US,,United States,310M300US14380,14380,"United States - In metropolitan or micropolitan statistical area - Boone, NC Micro Area","Boone, NC Micro Area",19.8,1.0
0100000US,,United States,310M300US14420,14420,"United States - In metropolitan or micropolitan statistical area - Borger, TX Micro Area","Borger, TX Micro Area",19.1,1.8
0100000US,,United States,310M300US14460,14460,"United States - In metropolitan or micropolitan statistical area - Boston-Cambridge-Newton, MA-NH Metro Area","Boston-Cambridge-Newton, MA-NH Metro Area",30.6,0.1
0100000US,,United States,314M300US1446014454,1446014454,"United States - In metropolitan or micropolitan statistical area - Boston-Cambridge-Newton, MA-NH Metro Area - Boston, MA Metro Division","Boston, MA Metro Division",32.0,0.2
0100000US,,United States,314M300US1446015764,1446015764,"United States - In metropolitan or micropolitan statistical area - Boston-Cambridge-Newton, MA-NH Metro Area - Cambridge-Newton-Framingham, MA Metro Division","Cambridge-Newton-Framingham, MA Metro Division",29.7,0.1
0100000US,,United States,314M300US1446040484,1446040484,"United States - In metropolitan or micropolitan statistical area - Boston-Cambridge-Newton, MA-NH Metro Area - Rockingham County-Strafford County, NH Metro Division","Rockingham County-Strafford County, NH Metro Division",29.2,0.5
0100000US,,United States,310M300US14500,14500,"United States - In metropolitan or micropolitan statistical area - Boulder, CO Metro Area","Boulder, CO Metro Area",22.4,0.4
0100000US,,United States,310M300US14540,14540,"United States - In metropolitan or micropolitan statistical area - Bowling Green, KY Metro Area","Bowling Green, KY Metro Area",21.6,0.6
0100000US,,United States,310M300US14580,14580,"United States - In metropolitan or micropolitan statistical area - Bozeman, MT Micro Area","Bozeman, MT Micro Area",17.6,0.7
0100000US,,United States,310M300US14620,14620,"United States - In metropolitan or micropolitan statistical area - Bradford, PA Micro Area","Bradford, PA Micro Area",21.0,0.9
0100000US,,United States,310M300US14660,14660,"United States - In metropolitan or micropolitan statistical area - Brainerd, MN Micro Area","Brainerd, MN Micro Area",22.0,0.6
0100000US,,United States,310M300US14700,14700,"United States - In metropolitan or micropolitan statistical area - Branson, MO Micro Area","Branson, MO Micro Area",23.7,1.3
0100000US,,United States,310M300US14720,14720,"United States - In metropolitan or micropolitan statistical area - Breckenridge, CO Micro Area","Breckenridge, CO Micro Area",16.6,1.4
0100000US,,United States,310M300US14740,14740,"United States - In metropolitan or micropolitan statistical area - Bremerton-Silverdale, WA Metro Area","Bremerton-Silverdale, WA Metro Area",30.3,0.6
0100000US,,United States,310M300US14780,14780,"United States - In metropolitan or micropolitan statistical area - Brenham, TX Micro Area","Brenham, TX Micro Area",21.1,1.5
0100000US,,United States,310M300US14820,14820,"United States - In metropolitan or micropolitan statistical area - Brevard, NC Micro Area","Brevard, NC Micro Area",25.5,2.5
0100000US,,United States,310M300US14860,14860,"United States - In metropolitan or micropolitan statistical area - Bridgeport-Stamford-Norwalk, CT Metro Area","Bridgeport-Stamford-Norwalk, CT Metro Area",29.7,0.3
0100000US,,United States,310M300US15020,15020,"United States - In metropolitan or micropolitan statistical area - Brookhaven, MS Micro Area","Brookhaven, MS Micro Area",31.1,2.7
0100000US,,United States,310M300US15060,15060,"United States - In metropolitan or micropolitan statistical area - Brookings, OR Micro Area","Brookings, OR Micro Area",14.1,1.3
0100000US,,United States,310M300US15100,15100,"United States - In metropolitan or micropolitan statistical area - Brookings, SD Micro Area","Brookings, SD Micro Area",14.6,0.9
0100000US,,United States,310M300US15140,15140,"United States - In metropolitan or micropolitan statistical area - Brownsville, TN Micro Area","Brownsville, TN Micro Area",23.3,1.7
0100000US,,United States,310M300US15180,15180,"United States - In metropolitan or micropolitan statistical area - Brownsville-Harlingen, TX Metro Area","Brownsville-Harlingen, TX Metro Area",20.1,0.3
0100000US,,United States,310M300US15220,15220,"United States - In metropolitan or micropolitan statistical area - Brownwood, TX Micro Area","Brownwood, TX Micro Area",17.2,1.0
0100000US,,United States,310M300US15260,15260,"United States - In metropolitan or micropolitan statistical area - Brunswick, GA Metro Area","Brunswick, GA Metro Area",21.6,0.7
0100000US,,United States,310M300US15340,15340,"United States - In metropolitan or micropolitan statistical area - Bucyrus, OH Micro Area","Bucyrus, OH Micro Area",21.1,1.1
0100000US,,United States,310M300US15380,15380,"United States - In metropolitan or micropolitan statistical area - Buffalo-Cheektowaga-Niagara Falls, NY Metro Area","Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",21.3,0.2
0100000US,,United States,310M300US15420,15420,"United States - In metropolitan or micropolitan statistical area - Burley, ID Micro Area","Burley, ID Micro Area",16.1,0.8
0100000US,,United States,310M300US15460,15460,"United States - In metropolitan or micropolitan statistical area - Burlington, IA-IL Micro Area","Burlington, IA-IL Micro Area",17.5,0.8
0100000US,,United States,310M300US15500,15500,"United States - In metropolitan or micropolitan statistical area - Burlington, NC Metro Area","Burlington, NC Metro Area",23.5,0.6
0100000US,,United States,310M300US15540,15540,"United States - In metropolitan or micropolitan statistical area - Burlington-South Burlington, VT Metro Area","Burlington-South Burlington, VT Metro Area",22.3,0.4
0100000US,,United States,310M300US15580,15580,"United States - In metropolitan or micropolitan statistical area - Butte-Silver Bow, MT Micro Area","Butte-Silver Bow, MT Micro Area",15.4,1.0
0100000US,,United States,310M300US15620,15620,"United States - In metropolitan or micropolitan statistical area - Cadillac, MI Micro Area","Cadillac, MI Micro Area",21.0,0.5
0100000US,,United States,310M300US15660,15660,"United States - In metropolitan or micropolitan statistical area - Calhoun, GA Micro Area","Calhoun, GA Micro Area",23.0,1.1
0100000US,,United States,310M300US15680,15680,"United States - In metropolitan or micropolitan statistical area - California-Lexington Park, MD Metro Area","California-Lexington Park, MD Metro Area",30.4,1.1
0100000US,,United States,310M300US15700,15700,"United States - In metropolitan or micropolitan statistical area - Cambridge, MD Micro Area","Cambridge, MD Micro Area",25.4,1.2
0100000US,,United States,310M300US15740,15740,"United States - In metropolitan or micropolitan statistical area - Cambridge, OH Micro Area","Cambridge, OH Micro Area",23.8,1.0
0100000US,,United States,310M300US15780,15780,"United States - In metropolitan or micropolitan statistical area - Camden, AR Micro Area","Camden, AR Micro Area",24.1,2.3
0100000US,,United States,310M300US15820,15820,"United States - In metropolitan or micropolitan statistical area - Campbellsville, KY Micro Area","Campbellsville, KY Micro Area",18.9,1.5
0100000US,,United States,310M300US15860,15860,"United States - In metropolitan or micropolitan statistical area - Cañon City, CO Micro Area","Cañon City, CO Micro Area",23.2,1.3
0100000US,,United States,310M300US15900,15900,"United States - In metropolitan or micropolitan statistical area - Canton, IL Micro Area","Canton, IL Micro Area",25.4,0.9
0100000US,,United States,310M300US15940,15940,"United States - In metropolitan or micropolitan statistical area - Canton-Massillon, OH Metro Area","Canton-Massillon, OH Metro Area",22.3,0.3
0100000US,,United States,310M300US15980,15980,"United States - In metropolitan or micropolitan statistical area - Cape Coral-Fort Myers, FL Metro Area","Cape Coral-Fort Myers, FL Metro Area",27.3,0.4
0100000US,,United States,310M300US16020,16020,"United States - In metropolitan or micropolitan statistical area - Cape Girardeau, MO-IL Metro Area","Cape Girardeau, MO-IL Metro Area",20.7,0.6
0100000US,,United States,310M300US16060,16060,"United States - In metropolitan or micropolitan statistical area - Carbondale-Marion, IL Metro Area","Carbondale-Marion, IL Metro Area",20.2,0.6
0100000US,,United States,310M300US16100,16100,"United States - In metropolitan or micropolitan statistical area - Carlsbad-Artesia, NM Micro Area","Carlsbad-Artesia, NM Micro Area",16.9,0.8
0100000US,,United States,310M300US16140,16140,"United States - In metropolitan or micropolitan statistical area - Carroll, IA Micro Area","Carroll, IA Micro Area",14.0,0.7
0100000US,,United States,310M300US16180,16180,"United States - In metropolitan or micropolitan statistical area - Carson City, NV Metro Area","Carson City, NV Metro Area",17.8,0.8
0100000US,,United States,310M300US16220,16220,"United States - In metropolitan or micropolitan statistical area - Casper, WY Metro Area","Casper, WY Metro Area",17.2,0.5
0100000US,,United States,310M300US16260,16260,"United States - In metropolitan or micropolitan statistical area - Cedar City, UT Micro Area","Cedar City, UT Micro Area",17.3,1.5
0100000US,,United States,310M300US16300,16300,"United States - In metropolitan or micropolitan statistical area - Cedar Rapids, IA Metro Area","Cedar Rapids, IA Metro Area",19.7,0.4
0100000US,,United States,310M300US16340,16340,"United States - In metropolitan or micropolitan statistical area - Cedartown, GA Micro Area","Cedartown, GA Micro Area",26.5,2.2
0100000US,,United States,310M300US16380,16380,"United States - In metropolitan or micropolitan statistical area - Celina, OH Micro Area","Celina, OH Micro Area",17.9,0.7
0100000US,,United States,310M300US16420,16420,"United States - In metropolitan or micropolitan statistical area - Central City, KY Micro Area","Central City, KY Micro Area",22.4,1.5
0100000US,,United States,310M300US16460,16460,"United States - In metropolitan or micropolitan statistical area - Centralia, IL Micro Area","Centralia, IL Micro Area",20.8,0.8
0100000US,,United States,310M300US16500,16500,"United States - In metropolitan or micropolitan statistical area - Centralia, WA Micro Area","Centralia, WA Micro Area",26.4,1.0
0100000US,,United States,310M300US16540,16540,"United States - In metropolitan or micropolitan statistical area - Chambersburg-Waynesboro, PA Metro Area","Chambersburg-Waynesboro, PA Metro Area",24.0,0.7
0100000US,,United States,310M300US16580,16580,"United States - In metropolitan or micropolitan statistical area - Champaign-Urbana, IL Metro Area","Champaign-Urbana, IL Metro Area",18.6,0.4
0100000US,,United States,310M300US16620,16620,"United States - In metropolitan or micropolitan statistical area - Charleston, WV Metro Area","Charleston, WV Metro Area",22.5,0.5
0100000US,,United States,310M300US16660,16660,"United States - In metropolitan or micropolitan statistical area - Charleston-Mattoon, IL Micro Area","Charleston-Mattoon, IL Micro Area",17.2,0.7
0100000US,,United States,310M300US16700,16700,"United States - In metropolitan or micropolitan statistical area - Charleston-North Charleston, SC Metro Area","Charleston-North Charleston, SC Metro Area",25.1,0.2
0100000US,,United States,310M300US16740,16740,"United States - In metropolitan or micropolitan statistical area - Charlotte-Concord-Gastonia, NC-SC Metro Area","Charlotte-Concord-Gastonia, NC-SC Metro Area",26.3,0.2
0100000US,,United States,310M300US16820,16820,"United States - In metropolitan or micropolitan statistical area - Charlottesville, VA Metro Area","Charlottesville, VA Metro Area",24.3,0.4
0100000US,,United States,310M300US16860,16860,"United States - In metropolitan or micropolitan statistical area - Chattanooga, TN-GA Metro Area","Chattanooga, TN-GA Metro Area",23.3,0.3
0100000US,,United States,310M300US16940,16940,"United States - In metropolitan or micropolitan statistical area - Cheyenne, WY Metro Area","Cheyenne, WY Metro Area",16.1,0.7
0100000US,,United States,310M300US16980,16980,"United States - In metropolitan or micropolitan statistical area - Chicago-Naperville-Elgin, IL-IN-WI Metro Area","Chicago-Naperville-Elgin, IL-IN-WI Metro Area",31.3,0.1
0100000US,,United States,314M300US1698016974,1698016974,"United States - In metropolitan or micropolitan statistical area - Chicago-Naperville-Elgin, IL-IN-WI Metro Area - Chicago-Naperville-Arlington Heights, IL Metro Division","Chicago-Naperville-Arlington Heights, IL Metro Division",32.2,0.1
0100000US,,United States,314M300US1698020994,1698020994,"United States - In metropolitan or micropolitan statistical area - Chicago-Naperville-Elgin, IL-IN-WI Metro Area - Elgin, IL Metro Division","Elgin, IL Metro Division",28.6,0.3
